"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSG00000128656",455.4968380569,2.98470066782539,0.245636642896609,12.1508771355489,5.67534207768393e-34,3.41032689677803e-31
"ENSG00000147889",112.808325458947,3.82617822212001,0.316498285219085,12.0890962157077,1.20606135384686e-33,7.07469847017265e-31
"ENSG00000182168",115.13738363475,2.72027780016737,0.225152713973951,12.081923207384,1.31605034973652e-33,7.54035638754853e-31
"ENSG00000164932",5404.25307670892,3.47849692320701,0.289076934145231,12.0331182198695,2.37998947596128e-33,1.33263183452859e-30
"ENSG00000164692",589426.454614537,4.16941945925281,0.346865805763102,12.0202665987214,2.78072827382407e-33,1.52241783293786e-30
"ENSG00000164116",684.600280658105,3.05753701224914,0.255587650167726,11.9627728892326,5.56713119720072e-33,2.98168285446596e-30
"ENSG00000110492",3786.13207837888,4.30799897089451,0.362418260881114,11.8868154171395,1.38590747245713e-32,7.26480902104818e-30
"ENSG00000128606",749.760011391221,3.57664502772426,0.303352898924201,11.790376951756,4.37578105923961e-32,2.24596079076013e-29
"ENSG00000120820",1058.77976418684,2.71367974058421,0.230403022697056,11.7779693548217,5.06997841645685e-32,2.54916445400505e-29
"ENSG00000113140",260110.545145009,3.52848742386604,0.299747821043655,11.7715198448504,5.47295124316695e-32,2.69674199555808e-29
"ENSG00000163359",44036.1402617198,3.62904716278596,0.308932888947847,11.747040514675,7.31355836097099e-32,3.53302230076946e-29
"ENSG00000168542",612394.808830728,4.65908777919782,0.398440634726959,11.693304781503,1.37913620346153e-31,6.53418820090033e-29
"ENSG00000106236",732.868701133728,3.6099765367283,0.30936489363593,11.6689922191903,1.83585060553012e-31,8.53393422046144e-29
"ENSG00000109906",1254.38095599065,-4.76254804117996,0.412635040993185,-11.5417925480028,8.12148878393981e-31,3.70535405870232e-28
"ENSG00000135454",235.036896090925,2.36787098966925,0.205942178227766,11.4977466493068,1.35404301163065e-30,6.06537412318987e-28
"ENSG00000230838",374.620315591322,9.92318611393426,0.871435111131113,11.3871772977498,4.84429350950921e-30,2.13122962846033e-27
"ENSG00000218336",534.408487546484,4.71560936231025,0.414960959986375,11.3639831623319,6.31960525105556e-30,2.73151078193431e-27
"ENSG00000120057",104.154890222651,-4.84097125098103,0.426509700236792,-11.3502019960939,7.39915676620401e-30,3.14298319394773e-27
"ENSG00000225614",1256.68627803771,4.2991271599247,0.380760348247336,11.290900377925,1.45538087441452e-29,6.07732518694079e-27
"ENSG00000107249",162.203823085519,3.82133939492242,0.339154310281479,11.2672588231325,1.90405712981261e-29,7.81837591786556e-27
"ENSG00000168461",3251.49844128702,2.51797908002021,0.224335693127568,11.2241571767555,3.10331175004031e-29,1.25338182927448e-26
"ENSG00000223403",238.301500306532,3.20612893115143,0.286147563436031,11.2044600088589,3.87710800407566e-29,1.54065015961955e-26
"ENSG00000133466",3628.01070676029,4.03116758929669,0.361187934645003,11.1608589397062,6.33762705513923e-29,2.47841456757881e-26
"ENSG00000145423",21832.838204293,2.64528559034217,0.238025672650148,11.113446549231,1.0791238609726e-28,4.15412102543466e-26
"ENSG00000060982",372.838439477612,3.00459426074145,0.271356311343274,11.0725055402915,1.70563954118559e-28,6.46489867325989e-26
"ENSG00000171951",70.8493603210628,5.05002536669281,0.456207087700338,11.0695898920578,1.76205130516962e-28,6.5775239402218e-26
